,Subject,CardSort_Unadj,Flanker_Unadj,IWRD_TOT,ProcSpeed_Unadj,ListSort_Unadj,PicVocab_Unadj,ReadEng_Unadj,LifeSatisf_Unadj,MeanPurp_Unadj,PosAffect_Unadj,AngAffect_Unadj,AngHostil_Unadj,FearAffect_Unadj,PercStress_Unadj,Sadness_Unadj
104,130922,130.39,109.84,39,119.0,126.18,131.19,125.91,60.3,54.3,50.1,48.6,48.9,53.7,53.2,48.2
105,131217,119.87,119.25,39,118.67,93.9,115.3752,120.7198,55.0,51.7,44.4,49.8,48.0,55.8,50.7,49.9
106,131419,114.31,107.41,39,107.8,121.89,119.9508,129.6218,51.8,51.6,50.2,42.7,43.6,52.9,43.7,45.6
107,131823,118.01,113.97,37,138.72,112.89,129.3487,129.1036,62.5,42.1,42.0,50.9,53.9,56.5,52.2,49.9
108,131924,118.59,111.24,38,117.08,137.98,122.22,130.27,52.6,71.6,60.1,28.6,41.4,43.6,50.6,42.3
109,132017,115.53,116.01,35,126.95,108.06,127.1616,120.9043,49.2,59.7,48.4,44.6,59.2,37.2,50.5,51.2
110,133625,112.99,99.69,31,102.04,130.38,115.45,123.49,60.1,53.9,42.1,42.8,53.6,49.0,39.0,44.8
111,133928,110.9,108.93,34,112.67,108.06,105.06,112.07,45.9,60.1,40.3,44.8,51.5,44.3,59.5,49.9
112,134021,105.29,110.84,33,96.06,93.9,106.5826,94.09068,69.1,57.7,55.7,31.6,36.6,49.0,31.6,39.6
113,134223,112.99,103.76,36,122.72,133.93,120.4267,126.5055,74.6,60.8,50.2,52.8,50.8,51.2,48.8,48.1
114,134728,117.29,110.78,35,110.12,104.06,112.6015,112.8457,55.0,55.8,44.4,42.4,45.2,32.9,37.8,41.2
115,134829,103.68,107.59,34,115.83,104.06,105.6876,103.9233,66.7,60.9,54.1,65.5,61.7,55.1,56.1,56.2
116,135124,118.91,96.18,38,125.64,108.06,114.9569,112.4978,45.0,36.5,50.2,49.8,42.4,58.3,68.1,60.3
