,surfarea_Network_1,surfarea_Network_2,surfarea_Network_3,surfarea_Network_4,surfarea_Network_5,surfarea_Network_6,surfarea_Network_7,surfarea_Network_8,surfarea_Network_9,surfarea_Network_10,surfarea_Network_11,surfarea_Network_12,surfarea_Network_13,surfarea_Network_14,surfarea_Network_15,surfarea_Network_16,surfarea_Network_17,Subject
14,4038.287353515625,17069.466796875,9388.318359375,4673.296142578125,13292.1552734375,12025.55908203125,14649.35888671875,10786.0712890625,5759.791259765625,40155.92578125,2363.7261962890625,8593.9951171875,12524.15234375,8979.0966796875,9831.96875,15026.52294921875,16315.076171875,104012
15,7869.50537109375,15018.8681640625,8985.607177734375,5613.180419921875,18208.341796875,11847.44482421875,13693.3828125,16207.1298828125,6670.302734375,43912.3046875,2695.6102294921875,10875.50732421875,8008.8515625,9900.111328125,6250.637451171875,14976.04345703125,12645.71728515625,104416
16,6310.34130859375,16204.716796875,9341.47802734375,5525.555419921875,14625.76708984375,12119.19189453125,17615.83984375,12408.23193359375,7262.442626953125,41844.869140625,3278.255615234375,11670.21826171875,9713.263671875,10315.22802734375,7167.10205078125,13524.388671875,15642.5654296875,105014
17,4138.0091552734375,17649.78125,8557.01220703125,3960.2391357421875,13112.02685546875,12430.01953125,17147.4482421875,8858.25,7483.502685546875,40918.6484375,3232.32568359375,12046.1845703125,12993.9697265625,9729.91162109375,8482.166015625,18061.0771484375,15528.673828125,105115
18,4110.0318603515625,20081.0712890625,11997.650390625,4646.16259765625,12499.8447265625,12254.8056640625,16555.9169921875,12286.29833984375,7718.172119140625,40736.44140625,3158.22509765625,11916.4306640625,13575.158203125,10272.45263671875,8285.896240234375,13217.27001953125,17235.7236328125,105216
19,4431.959716796875,17412.8291015625,7566.61083984375,4315.9423828125,13480.82421875,9611.4150390625,14550.42041015625,11291.86767578125,5632.95556640625,40052.353515625,2173.40283203125,14280.3017578125,12816.87548828125,8772.6103515625,8525.80078125,16968.591796875,18156.2607421875,105620
20,5622.822021484375,17252.51416015625,10845.95654296875,4628.26171875,12830.16015625,12151.33203125,14803.2666015625,16528.99609375,6734.754150390625,41333.279296875,2487.7864990234375,12809.708984375,9163.4599609375,11205.7373046875,10484.90478515625,13550.14404296875,15316.3583984375,105923
21,5666.765625,15875.861328125,9281.3369140625,4339.26806640625,16148.4033203125,11310.6708984375,15489.337890625,12388.89892578125,7761.75341796875,41296.0078125,2634.720458984375,11160.17919921875,7453.10498046875,9034.203125,9647.251953125,12715.7958984375,19405.2314453125,106016
22,7364.56787109375,17223.2861328125,9649.79296875,4597.22509765625,12376.8857421875,12745.98779296875,15379.90771484375,16335.2119140625,6808.9072265625,36095.63671875,2568.2115478515625,10257.70068359375,10583.59375,8988.8056640625,10924.52001953125,12068.98681640625,18950.787109375,106319
23,8390.22021484375,16862.96923828125,10314.7294921875,4952.919677734375,14668.47998046875,11346.9599609375,14858.89892578125,12146.40234375,6395.648193359375,44789.412109375,3119.1781005859375,11270.654296875,8777.245361328125,9791.94580078125,9150.99169921875,14299.23388671875,15123.82421875,106521
24,4777.3876953125,18703.03515625,13560.39404296875,4506.507568359375,13445.923828125,9904.40380859375,14518.013671875,12366.93017578125,6549.585693359375,43432.51171875,2711.347900390625,11061.33935546875,10201.2705078125,12251.32470703125,8508.91015625,19484.794921875,13603.04248046875,106824
25,4240.7418212890625,16267.734375,10073.51513671875,4327.101806640625,14110.986328125,12294.79296875,13179.23681640625,11876.6962890625,6082.91748046875,37302.107421875,2504.907470703125,10607.41455078125,9284.55078125,9062.880859375,8024.548828125,13894.99462890625,17324.697265625,107018
26,4063.2811279296875,21196.158203125,10599.2412109375,4970.445068359375,12390.75634765625,14233.12548828125,14362.48828125,11331.177734375,7271.3056640625,38946.021484375,2373.6531982421875,11360.81396484375,8825.2666015625,10493.23974609375,9429.9111328125,15374.18115234375,17038.2412109375,107321
27,7059.529296875,16744.017578125,11198.251953125,5714.77392578125,19326.4873046875,11440.9951171875,13792.02490234375,12768.033203125,7741.073974609375,35827.4921875,2805.7735595703125,10362.5322265625,12346.70458984375,11467.44482421875,8412.9150390625,17689.4736328125,17141.5234375,107422
28,6294.27978515625,17117.529296875,10887.138671875,5479.8359375,15700.1640625,10784.4345703125,12468.740234375,15607.46923828125,7354.47900390625,42410.44921875,2886.44677734375,11789.06396484375,12004.17822265625,10991.2900390625,9088.8447265625,18428.4375,17057.896484375,108020
29,5447.4169921875,14459.21044921875,8169.523193359375,5022.23291015625,20538.85546875,9346.8662109375,15049.72265625,14541.64208984375,6944.865234375,41718.326171875,3112.882080078125,13429.4052734375,10333.7578125,12146.56494140625,8457.356201171875,15376.283203125,13912.77783203125,108222
30,5704.839111328125,14389.69140625,7894.843017578125,5030.781494140625,18555.65234375,12265.54931640625,14251.65087890625,13099.9306640625,6572.71923828125,35909.923828125,3322.322021484375,10283.98291015625,9907.13671875,9723.2900390625,8963.59375,14917.4794921875,15902.88427734375,108323
31,7006.0556640625,12290.9619140625,9144.4208984375,4962.52197265625,10690.3916015625,10777.31005859375,12662.966796875,14061.333984375,5561.478759765625,38173.650390625,2329.4118041992188,10232.6591796875,10841.076171875,7244.2099609375,8837.82421875,11640.5419921875,17527.0224609375,108525
32,5297.04052734375,16056.521484375,10249.361328125,3725.9056396484375,16840.6787109375,10717.19775390625,12070.22509765625,13642.8759765625,5958.4228515625,42540.681640625,3360.5838623046875,11379.04638671875,11020.45654296875,8602.48974609375,9643.32666015625,14771.8173828125,14843.47119140625,108828
33,4639.629150390625,13144.623046875,8952.9833984375,4505.574951171875,13620.4814453125,10888.6962890625,12731.46875,14734.40625,5027.136962890625,44327.232421875,2783.73779296875,11794.6103515625,9670.314453125,7656.5380859375,7297.499267578125,13907.2060546875,11484.6875,109830
34,5185.2724609375,18378.84375,8465.8173828125,4470.40771484375,12233.52001953125,12240.001953125,17029.291015625,11055.55810546875,6242.519775390625,43385.99609375,2788.41064453125,8596.5966796875,7773.14013671875,9703.6591796875,7991.54345703125,14577.16796875,13939.30419921875,110007
